route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,trip_type
47,000000,1863,Wr.Neustadt Hbf,,,1623,,1
47,000004,1864,Wr.Neustadt Hbf,,,1623,,1
47,000033,1865,Bruck/Leitha Bahnhof,,,1624,,1
47,000033,1866,Wien Hbf,,,1625,,1
47,000000,1867,Bruck/Leitha Bahnhof,,,1626,,1
47,000000,1868,Wr.Neustadt Hbf,,,1627,,1
47,000033,1869,Bruck/Leitha Bahnhof,,,1628,,1
46,000033,1870,Wien Hbf,,,1629,,1
47,000033,1871,Wien Hbf,,,1630,,1
47,000000,1872,Bruck/Leitha Bahnhof,,,1631,,1
47,000000,1873,Wr.Neustadt Hbf,,,1632,,1
47,000033,1874,Bruck/Leitha Bahnhof,,,1633,,1
47,000033,1875,Wien Hbf,,,1634,,1
47,000000,1876,Bruck/Leitha Bahnhof,,,1635,,1
47,000000,1877,Wr.Neustadt Hbf,,,1636,,1
47,000033,1878,Bruck/Leitha Bahnhof,,,1637,,1
47,000033,1879,Wien Hbf,,,1638,,1
47,000000,1880,Bruck/Leitha Bahnhof,,,1639,,1
47,000000,1881,Wr.Neustadt Hbf,,,1640,,1
47,000033,1882,Bruck/Leitha Bahnhof,,,1641,,1
47,000033,1883,Wien Hbf,,,1642,,1
47,000000,1884,Bruck/Leitha Bahnhof,,,1643,,1
47,000000,1885,Wr.Neustadt Hbf,,,1644,,1
47,000033,1886,Bruck/Leitha Bahnhof,,,1645,,1
47,000033,1887,Wien Hbf,,,1646,,1
47,000000,1888,Bruck/Leitha Bahnhof,,,1647,,1
47,000000,1889,Wr.Neustadt Hbf,,,1648,,1
47,000033,1890,Bruck/Leitha Bahnhof,,,1649,,1
46,000033,1891,Wr.Neustadt Hbf,,,1650,,1
47,000033,1892,Wr.Neustadt Hbf,,,1650,,1
47,000033,1893,Wien Hbf,,,1651,,1
47,000000,1894,Bruck/Leitha Bahnhof,,,1652,,1
47,000000,1895,Wr.Neustadt Hbf,,,1653,,1
47,000033,1896,Bruck/Leitha Bahnhof,,,1654,,1
47,000033,1897,Wien Hbf,,,1655,,1
47,000000,1898,Bruck/Leitha Bahnhof,,,1656,,1
47,000000,1899,Wr.Neustadt Hbf,,,1657,,1
47,000033,1900,Bruck/Leitha Bahnhof,,,1658,,1
47,000033,1901,Wien Hbf,,,1659,,1
47,000000,1902,Bruck/Leitha Bahnhof,,,1660,,1
46,000004,1903,Wulkaprodersdorf Bahnhof,,,1661,,1
